"272,669;""129"";""28 เม.ย.2015 03:00"";""7.8"";""5.8"";""185.0"";""31.0"";""79.0"";""ปกติ"""
"272,789;""129"";""28 เม.ย.2015 04:00"";""7.8"";""5.8"";""186.0"";""30.9"";""79.0"";""ปกติ"""
"272,907;""129"";""28 เม.ย.2015 05:00"";""7.8"";""5.8"";""186.0"";""30.8"";""76.0"";""ปกติ"""
"273,025;""129"";""28 เม.ย.2015 06:00"";""7.8"";""5.7"";""186.0"";""30.7"";""79.0"";""ปกติ"""
"273,143;""129"";""28 เม.ย.2015 07:00"";""7.8"";""5.7"";""185.0"";""30.7"";""79.0"";""ปกติ"""
"273,262;""129"";""28 เม.ย.2015 08:00"";""7.8"";""5.6"";""184.0"";""30.8"";""80.0"";""ปกติ"""
"273,380;""129"";""28 เม.ย.2015 09:00"";""7.8"";""5.6"";""184.0"";""31.1"";""81.0"";""ปกติ"""
"273,497;""129"";""28 เม.ย.2015 10:00"";""7.8"";""5.7"";""183.0"";""31.5"";""82.0"";""ปกติ"""
"273,612;""129"";""28 เม.ย.2015 11:00"";""7.8"";""5.8"";""182.0"";""31.9"";""83.0"";""ปกติ"""
"273,726;""129"";""28 เม.ย.2015 12:00"";""7.8"";""5.8"";""182.0"";""32.1"";""87.0"";""ปกติ"""
"273,840;""129"";""28 เม.ย.2015 13:00"";""7.8"";""5.8"";""182.0"";""32.3"";""89.0"";""ปกติ"""
"273,955;""129"";""28 เม.ย.2015 14:00"";""7.8"";""5.7"";""183.0"";""32.4"";""91.0"";""ปกติ"""
"274,068;""129"";""28 เม.ย.2015 15:00"";""7.8"";""5.7"";""182.0"";""32.4"";""90.0"";""ปกติ"""
"274,182;""129"";""28 เม.ย.2015 16:00"";""7.8"";""5.7"";""182.0"";""32.3"";""86.0"";""ปกติ"""
"274,298;""129"";""28 เม.ย.2015 17:00"";""7.8"";""5.8"";""183.0"";""32.0"";""86.0"";""ปกติ"""
"274,415;""129"";""28 เม.ย.2015 18:00"";""7.8"";""5.8"";""183.0"";""31.7"";""91.0"";""ปกติ"""
"274,532;""129"";""28 เม.ย.2015 19:00"";""7.8"";""5.9"";""183.0"";""31.6"";""91.0"";""ปกติ"""
"274,647;""129"";""28 เม.ย.2015 20:00"";""7.8"";""6.0"";""184.0"";""31.4"";""86.0"";""ปกติ"""
"274,763;""129"";""28 เม.ย.2015 21:00"";""7.8"";""6.0"";""184.0"";""31.3"";""84.0"";""ปกติ"""
"274,880;""129"";""28 เม.ย.2015 22:00"";""7.8"";""6.0"";""184.0"";""31.3"";""85.0"";""ปกติ"""
"274,996;""129"";""28 เม.ย.2015 23:00"";""7.8"";""5.9"";""185.0"";""31.3"";""83.0"";""ปกติ"""
"275,110;""129"";""29 เม.ย.2015 00:00"";""7.8"";""5.7"";""185.0"";""31.3"";""81.0"";""ปกติ"""
"275,226;""129"";""29 เม.ย.2015 01:00"";""7.7"";""5.7"";""184.0"";""31.2"";""79.0"";""ปกติ"""
"275,343;""129"";""29 เม.ย.2015 02:00"";""7.7"";""5.5"";""184.0"";""31.1"";""78.0"";""ปกติ"""
"275,459;""129"";""29 เม.ย.2015 03:00"";""7.7"";""5.5"";""184.0"";""31.0"";""76.0"";""ปกติ"""
"275,576;""129"";""29 เม.ย.2015 04:00"";""7.7"";""5.6"";""185.0"";""30.9"";""74.0"";""ปกติ"""
