หมายเลข,วันที่-เวลา,DO,EC,T,Tb,สถานะ
111,6 เม.ย.2015 22:30,5.4,186.5,31.6,-,ปกติ
111,6 เม.ย.2015 23:00,5.5,186.4,31.2,-,ปกติ
111,6 เม.ย.2015 23:30,5.5,186.4,30.8,-,ปกติ
111,7 เม.ย.2015 00:00,5.5,186.4,30.5,-,ปกติ
111,7 เม.ย.2015 00:30,5.4,185.9,30.3,-,ปกติ
111,7 เม.ย.2015 01:00,5.5,186.1,30.2,-,ปกติ
111,7 เม.ย.2015 01:30,5.5,186.2,30.0,-,ปกติ
111,7 เม.ย.2015 02:00,5.5,185.9,29.8,-,ปกติ
111,7 เม.ย.2015 02:30,5.6,186.2,29.7,-,ปกติ
111,7 เม.ย.2015 03:00,5.5,185.4,29.5,-,ปกติ
111,7 เม.ย.2015 03:30,5.3,185.1,29.4,-,ปกติ
111,7 เม.ย.2015 04:00,5.0,184.6,29.2,-,ปกติ
111,7 เม.ย.2015 04:30,5.0,184.6,29.0,-,ปกติ
111,7 เม.ย.2015 05:00,4.6,184.3,28.9,-,ปกติ
111,7 เม.ย.2015 05:30,4.6,184.5,28.7,-,ปกติ
111,7 เม.ย.2015 06:00,4.5,184.2,28.6,-,ปกติ
111,7 เม.ย.2015 06:30,4.6,183.9,28.5,-,ปกติ
111,7 เม.ย.2015 07:00,4.8,184.0,28.4,-,ปกติ
111,7 เม.ย.2015 07:30,5.0,184.1,28.5,-,ปกติ
111,7 เม.ย.2015 08:00,4.9,183.5,28.6,-,ปกติ
111,7 เม.ย.2015 08:30,4.9,183.2,28.9,-,ปกติ
111,7 เม.ย.2015 09:00,5.1,181.7,29.5,-,ปกติ
111,7 เม.ย.2015 09:30,5.7,180.3,30.0,-,ปกติ
111,7 เม.ย.2015 10:00,5.9,179.3,30.5,-,ปกติ
111,7 เม.ย.2015 10:30,5.4,179.0,30.8,-,ปกติ
111,7 เม.ย.2015 11:00,5.7,178.4,31.2,-,ปกติ
111,7 เม.ย.2015 11:30,5.8,177.4,31.6,-,ปกติ
111,7 เม.ย.2015 12:00,5.9,177.1,32.0,-,ปกติ
111,7 เม.ย.2015 12:30,5.9,176.6,32.4,-,ปกติ
111,7 เม.ย.2015 13:00,5.9,175.7,32.9,-,ปกติ
